Quelle,QuelleAbteilung,QuelleBereich,QuelleOrganisation,QuelleRolle,Beziehung,Ziel,Datentyp,Häufigkeit,Format,Schutzbedarf,Erfassungsart,Anmerkungen
Standesamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Einwohnermeldeamt,Geburtenmeldungen,täglich,Fachanwendung,DSGVO-relevant,Automatisiert,
Standesamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Jahresbericht Standesamt,jährlich,PDF,Öffentlich,Manuell,
Einwohnermeldeamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Bürgermeisterbüro,Einwohnerstatistik,quartalsweise,PDF,Öffentlich,Manuell,
Einwohnermeldeamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Kämmerei,Haushaltsdaten Meldewesen,jährlich,Excel,Intern,Manuell,
Einwohnermeldeamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Sozialamt,Meldedaten,bei Bedarf,Fachanwendung,DSGVO-relevant,Automatisiert,
Einwohnermeldeamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Jugendamt,Meldedaten Minderjährige,bei Bedarf,Formular,DSGVO-relevant,Manuell,Kein automatisierter Abgleich – Medienbruch
Einwohnermeldeamt,Bürgerservice,Bürgerservice,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Ordnungsamt,Adressauskünfte,bei Bedarf,Formular,DSGVO-relevant,Manuell,
Sozialamt,Soziales,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Sozialbericht,jährlich,PDF,Intern,Manuell,
Sozialamt,Soziales,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Kämmerei,Haushaltsanforderung,jährlich,Excel,Intern,Manuell,
Sozialamt,Soziales,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Datenschutzbeauftragter,Datenschutzmeldung,bei Bedarf,Formular,DSGVO-relevant,Manuell,
Jugendamt,Jugend und Familie,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Jugendhilfebericht,jährlich,PDF,Intern,Manuell,
Jugendamt,Jugend und Familie,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Kämmerei,Haushaltsanforderung,jährlich,Excel,Intern,Manuell,
Jugendamt,Jugend und Familie,Soziales,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Datenschutzbeauftragter,Datenschutzmeldung,bei Bedarf,Formular,DSGVO-relevant,Manuell,
Bauamt,Bauen und Wohnen,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Stadtplanung,Bauantragsstatistik,monatlich,Excel,Öffentlich,Manuell,
Bauamt,Bauen und Wohnen,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Kämmerei,Gebührenbescheide,täglich,SAP,Intern,Automatisiert,
Bauamt,Bauen und Wohnen,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Bauprojektbericht,quartalsweise,PDF,Öffentlich,Manuell,
Stadtplanung,Stadtentwicklung,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Bauamt,Bebauungspläne,unregelmäßig,GIS,Öffentlich,Manuell,
Stadtplanung,Stadtentwicklung,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Kämmerei,Investitionsplanung,jährlich,Excel,Intern,Manuell,
Stadtplanung,Stadtentwicklung,Stadtentwicklung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Stadtentwicklungsbericht,halbjährlich,PDF,Öffentlich,Manuell,
Kämmerei,Finanzen,Finanzen,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Bürgermeisterbüro,Haushaltsbericht,monatlich,PDF,Intern,Manuell,
Kämmerei,Finanzen,Finanzen,Stadtverwaltung Musterstadt,Datenverwalter,übergibt,Personalamt,Personalbudget,jährlich,Excel,Intern,Manuell,
Personalamt,Personal,Verwaltung,Stadtverwaltung Musterstadt,Datenverarbeiter,übergibt,Kämmerei,Personalkosten,monatlich,SAP,DSGVO-relevant,Automatisiert,
Personalamt,Personal,Verwaltung,Stadtverwaltung Musterstadt,Datenverarbeiter,übergibt,Bürgermeisterbüro,Stellenplan,jährlich,PDF,Intern,Manuell,
Personalamt,Personal,Verwaltung,Stadtverwaltung Musterstadt,Datenverarbeiter,übergibt,IT-Beauftragter,Systemzugriffslisten,bei Bedarf,E-Mail,DSGVO-relevant,Manuell,
IT-Beauftragter,IT,Verwaltung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,IT-Sachstandsbericht,quartalsweise,PDF,Intern,Manuell,
IT-Beauftragter,IT,Verwaltung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Datenschutzbeauftragter,Sicherheitsmeldungen,bei Bedarf,E-Mail,Intern,Manuell,
Ordnungsamt,Ordnung,Sicherheit,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Lagebericht,monatlich,PDF,Öffentlich,Manuell,
Datenschutzbeauftragter,Datenschutz,Verwaltung,Stadtverwaltung Musterstadt,Datenersteller,übergibt,Bürgermeisterbüro,Datenschutzbericht,jährlich,PDF,Intern,Manuell,Nur eingehende Meldungen – keine ausgehenden Empfehlungen
